variant,thread_config,run,pct_infected_total,pct_vaccinated_total,pct_infected_susc,pct_vaccinated_susc,vax_effectiveness_total,vax_effectiveness_susc,max_cycles,avg_cycles,total_messages,pct_msg_vaccinated,pct_msg_infected,trans_neutral_to_infected,trans_neutral_to_vaccinated,trans_infected_to_vaccinated,trans_vaccinated_to_infected,messages_per_cycle
600,524922729485848576,1,11.166666666666666,6.166666666666667,62.03703703703704,34.25925925925926,35.57692307692308,35.57692307692308,3106.0,151.74074074074073,487,33.26488706365503,66.73511293634498,40.88397790055249,16.022099447513813,23.756906077348066,19.337016574585636,0.1567933032839665
600,524922729485848576,2,10.5,6.5,58.333333333333336,36.111111111111114,38.23529411764706,38.23529411764706,3571.0,202.82407407407408,470,25.106382978723403,74.8936170212766,52.83018867924528,10.69182389937107,25.157232704402517,11.320754716981131,0.13161579389526742
600,524922729485848576,3,11.666666666666666,4.666666666666667,64.81481481481481,25.925925925925927,28.571428571428573,28.571428571428573,17331.0,473.44444444444446,451,22.394678492239468,77.60532150776054,49.685534591194966,11.320754716981131,22.641509433962263,16.352201257861637,0.026022733829553977
600,524922729485848576_25pct_cautious,1,10.5,5.166666666666667,58.333333333333336,28.703703703703702,32.97872340425532,32.97872340425532,9132.0,381.60185185185185,432,30.324074074074073,69.67592592592592,46.62162162162162,16.216216216216218,20.945945945945947,16.216216216216218,0.04730617608409987
600,524922729485848576_25pct_cautious,2,10.833333333333334,5.5,60.18518518518518,30.555555555555557,33.673469387755105,33.673469387755105,2699.0,216.9814814814815,429,27.505827505827504,72.49417249417249,43.78698224852071,13.609467455621301,24.2603550295858,18.34319526627219,0.1589477584290478
600,524922729485848576_25pct_cautious,3,11.666666666666666,4.666666666666667,64.81481481481481,25.925925925925927,28.571428571428573,28.571428571428573,8774.0,658.425925925926,443,27.99097065462754,72.00902934537245,49.333333333333336,15.333333333333334,19.333333333333332,16.0,0.05049008434009574
600,524922729485848576_25pct_credulous,1,10.5,5.833333333333333,58.333333333333336,32.407407407407405,35.714285714285715,35.714285714285715,13524.0,595.6296296296297,412,29.854368932038835,70.14563106796116,49.056603773584904,11.949685534591195,24.528301886792452,14.465408805031446,0.03046435965690624
600,524922729485848576_25pct_credulous,2,10.166666666666666,6.833333333333333,56.48148148148148,37.96296296296296,40.19607843137255,40.19607843137255,3158.0,191.87962962962962,462,30.086580086580085,69.91341991341992,49.70414201183432,10.059171597633137,27.218934911242602,13.017751479289942,0.14629512349588347
600,524922729485848576_25pct_credulous,3,11.833333333333334,4.333333333333333,65.74074074074075,24.074074074074073,26.804123711340207,26.804123711340207,10334.0,296.44444444444446,426,20.657276995305164,79.34272300469483,55.70469798657718,8.724832214765101,22.14765100671141,13.422818791946309,0.04122314689374879
600,524922729485848576_50pct_cautious,1,8.666666666666666,7.0,48.148148148148145,38.888888888888886,44.680851063829785,44.680851063829785,4165.0,370.5462962962963,423,40.42553191489362,59.57446808510638,39.62264150943396,18.867924528301888,24.528301886792452,16.9811320754717,0.10156062424969987
600,524922729485848576_50pct_cautious,2,8.333333333333334,6.833333333333333,46.2962962962963,37.96296296296296,45.05494505494506,45.05494505494506,2907.0,334.76851851851853,425,36.470588235294116,63.529411764705884,42.038216560509554,15.286624203821656,26.751592356687897,15.92356687898089,0.14619883040935672
